BIÊN BẢN NGHIỆM THU KIÊM YÊU CẦU CẬP NHẬT HỆ THỐNG (NHSV - HỆ THỐNG PHÁI SINH WTS)																	
		Tester/BA	CS	IT	DVTC												
	Tổng số case test	524	524	0	0												
Test result	Passed	262	290	288	0												
	Failed	4	12	12	0												
	N/A	258	0	218	0												
STT	Chức năng	Summary (Kịch bản kiểm thử)	Tiền điều kiện	Action (Các bước thực hiện)	Expect result (Kết quả mong muốn)	Ghi chú	Phong ban Test	KẾT QUẢ TEST UAT			KẾT QUẢ TEST Pilot						
								Tester	CS	DVTC	Tester	CS	DVTC				
1. Thị trường																	
Bảng giá phái sinh																	
TC_53				Bước 1: Chọn màn hình 5110 Bước 2: Nhập mã HĐTL và ấn Enter Bước 3: Kiểm tra dữ liệu trường Thay đổi (%)	Bước 3: = (Giá hiện tại - Giá TC?/Giá TC )x 100%		DVKH	PASS	PASS								
TC_54				Bước 1: Chọn màn hình Lệnh Bước 2: Nhập mã HĐTL và ấn Enter Bước 3: Kiểm tra dữ liệu trường KLGD	Bước 3: Tổng KLGD		DVKH	PASS	PASS								
TC_55				Bước 1: Chọn màn hình Lệnh Bước 2: Nhập mã HĐTL và ấn Enter Bước 3: Kiểm tra dữ liệu trường KL hôm trước	Bước 3: Tổng KLGD hôm trước		DVKH	PASS	PASS								
TC_56				Bước 1: Chọn màn hình Lệnh Bước 2: Nhập mã HĐTL và ấn Enter Bước 3: Kiểm tra dữ liệu trường Số TK, Tên	Bước 3: Hiển thị mặc định Sub 80 của TK, Tên hiển thị theo STK đã đăng ký		DVKH	PASS	PASS								
Kiểm tra màn hình đặt lệnh																	
TC_58	Kiểm tra dữ liệu			Bước 1: Chọn màn hình Lệnh Bước 2: Nhập mã HĐTL và ấn Enter Bước 3: Kiểm tra bảng khớp lệnh	Bước 3: Hiển thị thông tin khớp lệnh: Giá/Dư bán/ Dư mua		DVKH	PASS	PASS								
TC_59				Bước 1: Chọn màn hình Lệnh Bước 2: Nhập mã HĐTL và ấn Enter Bước 3: Kiểm tra dữ liệu trường SM tối đa	Bước 3: Hiển thị sức mua tối đa của tài khoản		DVKH	PASS	PASS								
TC_60				Bước 1: Chọn màn hình Lệnh Bước 2: Nhập mã HĐTL và ấn Enter Bước 3: Kiểm tra dữ liệu trường KL mua tối đa	Bước 3: Hiển thị khối lượng mua tối đa của tài khoản		DVKH	PASS	PASS								
TC_61		Kiểm tra KL lệnh		Bước 1: Chọn màn hình Mua, Bán hoặc Hủy/Sửa Bước 2: Bấm mũi tên chỉ xuống ở Lệnh	Bước 2: Hiển thị danh sách các loại lệnh: LO, MTL, MAK, MOK, ATO, ATC		DVKH	PASS	PASS								
TC_62				Bước 1: Chọn màn hình Mua, Bán hoặc Hủy/Sửa Bước 2: Bấm KLGD	Bước 3: Cho phép nhập KL muốn giao dịch		DVKH	PASS	PASS								
